'Date','Out_temp','Room','In_temp','Cor_fac','Typ_wea'
4/24/1993,58,3,68.5,1,1
4/24/1993,58,4,68,1,1
4/24/1993,58,5,67,1,1
4/24/1993,58,6,66.5,1,1
4/24/1993,58,7,68,1,1
4/24/1993,58,8,68,1,1
4/24/1993,58,9,68,1,1
4/24/1993,58,10,68,1,1
4/24/1993,58,11,67,1,1
4/24/1993,58,12,68,1,1
4/24/1993,58,13,69,1,1
4/24/1993,58,14,67,1,1
4/24/1993,58,15,66.5,1,1
4/24/1993,58,16,66,1,1
4/24/1993,58,17,66,1,1
4/24/1993,58,18,66,1,1
4/24/1993,58,19,66,1,1
4/24/1993,58,20,66.5,1,1
4/24/1993,58,21,68,1,1
4/25/1993,60,1,70,1,1
4/25/1993,60,2,70,1,1
4/25/1993,60,3,70.5,1,1
4/25/1993,60,4,69.5,1,1
4/25/1993,60,5,71.5,1,1
4/25/1993,60,6,71,1,1
4/25/1993,60,7,71.5,1,1
4/25/1993,60,8,70.5,1,1
4/25/1993,60,9,70,1,1
4/25/1993,60,10,72,1,1
4/25/1993,60,11,69.5,1,1
4/25/1993,60,12,71,1,1
4/25/1993,60,13,69.5,1,1
4/25/1993,60,14,71.5,1,1
4/25/1993,60,15,71,1,1
4/25/1993,60,16,72,1,1
4/25/1993,60,17,71.5,1,1
4/25/1993,60,18,71.5,1,1
4/25/1993,60,19,71.5,1,1
4/25/1993,60,20,71,1,1
4/25/1993,60,21,71.5,1,1
4/26/1993,46,1,66,1,4
4/26/1993,46,2,66,1,4
4/26/1993,46,3,70,1,4
4/26/1993,46,4,69,1,4
4/26/1993,46,5,69,1,4
4/26/1993,46,6,67,1,4
4/26/1993,46,7,69,1,4
4/26/1993,46,8,68,1,4
4/26/1993,46,9,68.5,1,4
4/26/1993,46,10,68.5,1,4
4/26/1993,46,11,66,1,4
4/26/1993,46,12,70,1,4
4/26/1993,46,13,70,1,4
4/26/1993,46,14,68,1,4
4/26/1993,46,15,67,1,4
4/26/1993,46,16,67.5,1,4
4/26/1993,46,17,66,1,4
4/26/1993,46,18,65,1,4
4/26/1993,46,19,66.5,1,4
4/26/1993,46,20,65,1,4
4/26/1993,46,21,67,1,4
4/27/1993,38,1,65,1,1
4/27/1993,38,2,64,1,1
4/27/1993,38,3,66,1,1
4/27/1993,38,4,65,1,1
4/27/1993,38,5,65.5,1,1
4/27/1993,38,6,63.5,1,1
4/27/1993,38,7,66,1,1
4/27/1993,38,8,64.5,1,1
4/27/1993,38,9,65,1,1
4/27/1993,38,10,66,1,1
4/27/1993,38,11,63.5,1,1
4/27/1993,38,12,66.5,1,1
4/27/1993,38,13,67,1,1
4/27/1993,38,14,66,1,1
4/27/1993,38,15,66,1,1
4/27/1993,38,16,66,1,1
4/27/1993,38,17,68,1,1
4/27/1993,38,18,67.5,1,1
4/27/1993,38,19,65.5,1,1
4/27/1993,38,20,65,1,1
4/27/1993,38,21,64,1,1
4/28/1993,40,1,64.5,1,1
4/28/1993,40,2,64,1,1
4/28/1993,40,3,65.5,1,1
4/28/1993,40,4,65.5,1,1
4/28/1993,40,5,65.5,1,1
4/28/1993,40,6,64,1,1
4/28/1993,40,7,65,1,1
4/28/1993,40,8,65,1,1
4/28/1993,40,9,65,1,1
4/28/1993,40,10,65.5,1,1
4/28/1993,40,11,60,1,1
4/28/1993,40,12,66.5,1,1
4/28/1993,40,13,64.5,1,1
4/28/1993,40,14,67,1,1
4/28/1993,40,15,67,1,1
4/28/1993,40,16,65,1,1
4/28/1993,40,17,67.5,1,1
4/28/1993,40,18,65,1,1
4/28/1993,40,19,65,1,1
4/28/1993,40,20,64.5,1,1
4/28/1993,40,21,66.5,1,1
4/29/1993,48,1,63.5,1,1
4/29/1993,48,2,60,1,1
4/29/1993,48,3,67,1,1
4/29/1993,48,4,64.5,1,1
4/29/1993,48,5,68,1,1
4/29/1993,48,6,67.5,1,1
4/29/1993,48,7,68.5,1,1
4/29/1993,48,8,68,1,1
4/29/1993,48,9,67,1,1
4/29/1993,48,10,66.5,1,1
4/29/1993,48,11,66.5,1,1
4/29/1993,48,12,66.5,1,1
4/29/1993,48,13,67,1,1
4/29/1993,48,14,68,1,1
4/29/1993,48,15,67.5,1,1
4/29/1993,48,16,65.5,1,1
4/29/1993,48,17,64,1,1
4/29/1993,48,18,64,1,1
4/29/1993,48,19,62.5,1,1
4/29/1993,48,20,64,1,1
4/29/1993,48,21,66.5,1,1
4/30/1993,48,1,65,1,2
4/30/1993,48,2,62,1,2
4/30/1993,48,3,67,1,2
4/30/1993,48,4,65.5,1,2
4/30/1993,48,5,69,1,2
4/30/1993,48,6,68.5,1,2
4/30/1993,48,7,68.5,1,2
4/30/1993,48,8,68,1,2
4/30/1993,48,9,67,1,2
4/30/1993,48,10,68,1,2
4/30/1993,48,11,67,1,2
4/30/1993,48,12,68.5,1,2
4/30/1993,48,13,68,1,2
4/30/1993,48,14,67,1,2
4/30/1993,48,15,67,1,2
4/30/1993,48,16,62,1,2
4/30/1993,48,17,66,1,2
4/30/1993,48,18,65,1,2
4/30/1993,48,19,66.5,1,2
4/30/1993,48,20,65.5,1,2
4/30/1993,48,21,67,1,2
5/1/1993,60,1,70,1,1
5/1/1993,60,2,69.5,1,1
5/1/1993,60,3,71,1,1
5/1/1993,60,4,71,1,1
5/1/1993,60,5,71,1,1
5/1/1993,60,6,71,1,1
5/1/1993,60,7,71,1,1
5/1/1993,60,8,71,1,1
5/1/1993,60,9,71,1,1
5/1/1993,60,10,71,1,1
5/1/1993,60,11,71.5,1,1
5/1/1993,60,12,71.5,1,1
5/1/1993,60,13,71.5,1,1
5/1/1993,60,14,72,1,1
5/1/1993,60,15,72,1,1
5/1/1993,60,16,71,1,1
5/1/1993,60,17,71,1,1
5/1/1993,60,18,71,1,1
5/1/1993,60,19,71,1,1
5/1/1993,60,20,70,1,1
5/1/1993,60,21,71.5,1,1
5/2/1993,52,1,69.5,1,1
5/2/1993,52,2,70,1,1
5/2/1993,52,3,72.5,1,1
5/2/1993,52,4,72,1,1
5/2/1993,52,5,72,1,1
5/2/1993,52,6,71,1,1
5/2/1993,52,7,72,1,1
5/2/1993,52,8,71.5,1,1
5/2/1993,52,9,71,1,1
5/2/1993,52,10,70.5,1,1
5/2/1993,52,11,69,1,1
5/2/1993,52,12,72,1,1
5/2/1993,52,13,73,1,1
5/2/1993,52,14,72.5,1,1
5/2/1993,52,15,72,1,1
5/2/1993,52,16,71.5,1,1
5/2/1993,52,17,72,1,1
5/2/1993,52,18,72,1,1
5/2/1993,52,19,71,1,1
5/2/1993,52,20,69.5,1,1
5/2/1993,52,21,70.5,1,1
5/3/1993,47,1,62,1,2
5/3/1993,47,2,58.5,1,2
5/3/1993,47,3,67.5,1,2
5/3/1993,47,4,68,1,2
5/3/1993,47,5,68,1,2
5/3/1993,47,6,67,1,2
5/3/1993,47,7,68,1,2
5/3/1993,47,8,67.5,1,2
5/3/1993,47,9,67.5,1,2
5/3/1993,47,10,68,1,2
5/3/1993,47,11,65.5,1,2
5/3/1993,47,12,68.5,1,2
5/3/1993,47,13,67.5,1,2
5/3/1993,47,14,68,1,2
5/3/1993,47,15,68.5,1,2
5/3/1993,47,16,66,1,2
5/3/1993,47,17,62.5,1,2
5/3/1993,47,18,65,1,2
5/3/1993,47,19,66,1,2
5/3/1993,47,20,64,1,2
5/3/1993,47,21,67,1,2
5/4/1993,58,1,69.5,1,3
5/4/1993,58,2,68.5,1,3
5/4/1993,58,3,69,1,3
5/4/1993,58,4,70,1,3
5/4/1993,58,5,70.5,1,3
5/4/1993,58,6,68,1,3
5/4/1993,58,7,70.5,1,3
5/4/1993,58,8,70,1,3
5/4/1993,58,9,67,1,3
5/4/1993,58,10,70.5,1,3
5/4/1993,58,11,64.5,1,3
5/4/1993,58,12,71,1,3
5/4/1993,58,13,71,1,3
5/4/1993,58,14,71.5,1,3
5/4/1993,58,15,71,1,3
5/4/1993,58,16,70.5,1,3
5/4/1993,58,17,68.5,1,3
5/4/1993,58,18,68.5,1,3
5/4/1993,58,19,69.5,1,3
5/4/1993,58,20,69.5,1,3
5/4/1993,58,21,70.5,1,3
